Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Class,"ATITCDecodeFlag",0,0,0,0,0,0,0,0,0,0,0
Class,"ActionAnimate",7,1,2,0,5,304,5,12,60,1,1
Class,"ActionBezier",4,1,2,0,5,302,3,10,0,1,1
Class,"ActionBlink",4,1,2,0,5,302,3,3,0,1,1
Class,"ActionCallFuncN",6,1,2,0,5,305,6,9,0,1,1
Class,"ActionCallFuncND",6,1,2,0,5,305,6,8,0,1,1
Class,"ActionCallFunction",9,1,2,0,5,307,8,9,0,1,1
Class,"ActionCardinalSpline",6,1,2,0,5,304,5,10,0,1,1
Class,"ActionCardinalSplineStacked",6,1,2,0,5,304,5,12,0,1,1
Class,"ActionCatmullRom",6,1,2,0,5,304,5,11,0,1,1
Class,"ActionCatmullRomStacked",6,1,2,0,5,304,5,13,0,1,1
Class,"ActionDelayTime",4,1,2,0,5,302,3,6,0,1,1
Class,"ActionFade",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionFloatTest",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionFollow",4,1,2,0,5,302,3,13,0,1,1
Class,"ActionFollowWithOffset",4,1,2,0,5,302,3,13,0,1,1
Class,"ActionJump",4,1,2,0,5,302,3,7,0,1,1
Class,"ActionManagerTest",4,1,1,8,4,298,4,2,87,1,1
Class,"ActionManagerTests",1,1,1,0,3,39,1,0,0,1,1
Class,"ActionMove",4,1,2,0,5,302,3,7,0,1,1
Class,"ActionMove3D",4,1,2,0,5,302,3,7,0,1,1
Class,"ActionMoveBezierStacked",4,1,2,0,6,309,3,10,0,1,1
Class,"ActionMoveJumpStacked",4,1,2,0,6,309,3,8,0,1,1
Class,"ActionMoveStacked",4,1,2,0,6,309,3,7,0,1,1
Class,"ActionOrbit",5,1,2,0,5,303,4,9,0,1,1
Class,"ActionRemoveSelf",4,1,2,0,5,302,3,8,0,1,1
Class,"ActionRepeat",4,1,2,0,5,302,3,8,0,1,1
Class,"ActionRepeatForever",5,1,2,0,5,304,5,8,0,1,1
Class,"ActionResize",4,1,2,0,5,302,3,15,0,1,1
Class,"ActionReverse",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionReverseSequence",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionReverseSequence2",4,1,2,0,5,302,3,8,0,1,1
Class,"ActionRotate",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionRotateBy3D",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionRotateToRepeat",4,1,2,0,5,302,3,6,0,1,1
Class,"ActionRotationalSkew",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionRotationalSkewVSStandardSkew",4,1,2,0,5,302,3,11,0,1,1
Class,"ActionScale",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionSequence",4,1,2,0,5,302,3,6,0,1,1
Class,"ActionSequence2",7,1,2,0,5,307,8,12,0,1,1
Class,"ActionSequence3",4,1,2,0,5,302,3,7,0,1,1
Class,"ActionSkew",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionSkewRotateScale",4,1,2,0,5,302,3,10,0,1,1
Class,"ActionSpawn",4,1,2,0,5,302,3,6,0,1,1
Class,"ActionSpawn2",4,1,2,0,5,302,3,7,0,1,1
Class,"ActionStacked",9,1,2,3,5,306,7,12,0,1,1
Class,"ActionTargeted",5,1,2,0,5,303,4,7,0,1,1
Class,"ActionTargetedReverse",5,1,2,0,5,303,4,7,0,1,1
Class,"ActionTint",4,1,2,0,5,302,3,5,0,1,1
Class,"ActionsDemo",12,2,5,55,4,299,5,8,19,1,1
Class,"ActionsEaseTests",1,1,1,0,3,39,1,0,0,1,1
Class,"ActionsProgressTests",1,1,1,0,3,39,1,0,0,1,1
Class,"ActionsTests",1,1,1,0,3,39,1,0,0,1,1
Class,"AddAndDeleteParticleSystems",13,2,4,0,5,310,6,11,66,1,1
Abstract Class,"AddRemoveSpriteSheet",8,2,5,7,5,312,5,6,60,1,1
Class,"AddSprite",10,2,5,0,6,317,5,6,0,1,1
Class,"AddSpriteSheet",10,2,5,0,6,317,5,6,0,1,1
Struct,"AgentUserData",0,0,0,0,0,0,0,0,0,0,0
Struct,"AlreadyExistsBuffer",0,0,0,0,0,0,0,0,0,0,0
Class,"Animate3DCallbackTest",7,1,2,0,5,301,5,18,80,1,1
Class,"Animate3DTest",26,2,7,0,5,306,10,22,51,1,4
Protected Class,"Animate3DTest::State",0,0,0,0,0,0,0,0,0,0,0
Class,"AnimationCacheFile",6,1,2,0,5,299,5,9,0,1,1
Class,"AnimationCacheTest",9,1,4,0,5,299,5,11,0,1,1
Struct,"AnimationInfo",4,1,1,0,1,4,4,0,0,1,1
Struct,"AnimationInfoBuilder",5,1,1,0,0,6,6,2,41,0,1
Class,"AppDelegate",57,1,4,0,2,97,42,22,0,1,1
Class,"AppDelegate",0,0,0,0,2,61,6,8,0,1,0
Class,"AppDelegate",0,0,0,0,2,61,6,8,0,1,0
Class,"AppDelegate",0,0,0,0,2,61,6,8,0,1,0
Class,"AppDelegate",0,0,0,0,2,61,6,8,0,1,0
Class,"AppDelegate",0,0,0,0,2,61,6,8,100,1,0
Class,"AppDelegate",0,0,0,0,2,61,6,8,0,1,0
Class,"ArmatureNodeReader",26,2,12,0,1,21,10,15,100,2,1
Class,"ArrayPerfTest",6,1,2,0,5,315,4,6,0,1,1
Class,"AssetsManagerExLoaderScene",12,1,3,0,4,301,7,21,54,1,1
Class,"AssetsManagerExTests",1,1,1,0,3,39,1,0,0,1,1
Struct,"AsyncData",0,0,0,0,0,0,0,1,0,0,0
Class,"AsyncLoadSprite3DTest",9,1,2,0,5,303,7,15,71,1,1
Class,"AtlasDemoNew",0,0,0,69,4,294,0,0,0,1,0
Class,"AttachmentTest",9,1,2,0,5,302,6,15,50,1,1
Class,"AudioControlTest",10,2,5,0,5,303,5,9,70,1,1
Class,"AudioEngineTestDemo",4,1,1,19,4,298,4,3,50,1,1
Class,"AudioEngineTests",1,1,1,0,3,39,1,0,0,1,1
Class,"AudioIssue11143Test",6,1,2,0,5,302,4,4,0,1,1
Class,"AudioIssue16938Test",5,1,2,0,5,302,4,3,0,1,1
Class,"AudioIssue18597Test",6,1,2,0,5,302,4,7,75,1,1
Class,"AudioLoadTest",5,1,2,0,5,301,3,5,0,1,1
Class,"AudioPauseResumeAfterPlay",6,1,2,0,5,302,4,3,0,1,1
Class,"AudioPerformanceTest",7,1,3,0,5,302,4,6,0,1,1
