Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Function,"$",1,1,1,5
Function,"$",1,1,1,1
Class Function,"$",1,1,1,1
Function,"$.prototype.Initialize",1,3,3,5
Function,"$.prototype.Initialize",1,3,3,5
Function,"$.prototype.__destroy__",1,1,1,1
Function,"$.prototype.__destroy__",1,1,1,1
Function,"$.prototype._addComponent",1,2,2,2
Function,"$.prototype._addOrOverwriteComponent",1,1,1,1
Function,"$.prototype._getService",1,2,2,6
Function,"$.prototype._removeServiceInstance",1,1,1,2
Function,"$.prototype.checkDestroyed_",1,2,2,2
Function,"$.prototype.delete",1,1,1,1
Unnamed Function,"$.prototype.delete.(unnamed_function_36)",1,1,1,1
Unnamed Function,"$.prototype.delete.(unnamed_function_37)",1,1,1,1
Unnamed Function,"$.prototype.delete.(unnamed_function_37).(unnamed_function_38)",1,1,1,1
Unnamed Function,"$.prototype.delete.(unnamed_function_39)",1,1,1,1
Function,"$.prototype.get_angularOffset",1,1,1,1
Function,"$.prototype.get_angularOffset",1,1,1,1
Function,"$.prototype.get_bodyA",1,1,1,1
Function,"$.prototype.get_bodyA",1,1,1,1
Function,"$.prototype.get_bodyB",1,1,1,1
Function,"$.prototype.get_bodyB",1,1,1,1
Function,"$.prototype.get_collideConnected",1,1,1,1
Function,"$.prototype.get_collideConnected",1,1,1,1
Function,"$.prototype.get_correctionFactor",1,1,1,1
Function,"$.prototype.get_correctionFactor",1,1,1,1
Function,"$.prototype.get_linearOffset",1,1,1,1
Function,"$.prototype.get_linearOffset",1,1,1,1
Function,"$.prototype.get_maxForce",1,1,1,1
Function,"$.prototype.get_maxForce",1,1,1,1
Function,"$.prototype.get_maxTorque",1,1,1,1
Function,"$.prototype.get_maxTorque",1,1,1,1
Function,"$.prototype.get_type",1,1,1,1
Function,"$.prototype.get_type",1,1,1,1
Function,"$.prototype.get_userData",1,1,1,1
Function,"$.prototype.get_userData",1,1,1,1
Function,"$.prototype.set_angularOffset",1,2,2,3
Function,"$.prototype.set_angularOffset",1,2,2,3
Function,"$.prototype.set_bodyA",1,2,2,3
Function,"$.prototype.set_bodyA",1,2,2,3
Function,"$.prototype.set_bodyB",1,2,2,3
Function,"$.prototype.set_bodyB",1,2,2,3
Function,"$.prototype.set_collideConnected",1,2,2,3
Function,"$.prototype.set_collideConnected",1,2,2,3
Function,"$.prototype.set_correctionFactor",1,2,2,3
Function,"$.prototype.set_correctionFactor",1,2,2,3
