Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Class Function,"$",0,0,0,,1,,,,,,0
Class Function,"$x",0,0,0,,1,,,,,,0
Class,"(unnamed_function_1).$",4,2,3,,0,,,,,,1
Class Function,"(unnamed_function_1).(unnamed_function_14).A",0,0,0,,0,,,,,,0
Class Function,"(unnamed_function_1).(unnamed_function_2).n",2,1,1,,0,,,,,,1
Class,"(unnamed_function_1).(unnamed_function_5).NeverResolvingTask",1,1,1,,0,,,,,,1
Class,"(unnamed_function_1).B",3,1,2,,0,,,,,,1
Class,"(unnamed_function_1).E",7,2,3,,0,,,,,,1
Class,"(unnamed_function_1).F",7,3,6,,0,,,,,,1
Class,"(unnamed_function_1).FakeAutoRemoveBehavior",4,1,2,,0,,,,,,1
Class,"(unnamed_function_1).G",4,1,2,,0,,,,,,1
Class,"(unnamed_function_1).H",3,3,3,,0,,,,,,1
Class,"(unnamed_function_1).H",12,2,5,,0,,,,,,1
Class,"(unnamed_function_1).J",2,1,1,,0,,,,,,1
Class,"(unnamed_function_1).K",5,1,2,,0,,,,,,1
Class,"(unnamed_function_1).L",13,4,7,,0,,,,,,4
Class,"(unnamed_function_1).N",3,1,2,,0,,,,,,1
Class,"(unnamed_function_1).O",4,1,2,,0,,,,,,1
Class,"(unnamed_function_1).S",2,1,1,,0,,,,,,1
Class,"(unnamed_function_1).V",5,1,2,,0,,,,,,1
Class,"(unnamed_function_1).W",9,3,4,,0,,,,,,1
Class,"(unnamed_function_1).X",3,1,2,,0,,,,,,1
Class,"(unnamed_function_1).Z",6,2,3,,0,,,,,,1
Class,"(unnamed_function_1).at",4,2,2,,0,,,,,,1
Class,"(unnamed_function_1).b",89,2,30,,0,,,,,,16
Class Function,"(unnamed_function_1).e",0,0,0,,1,,,,,,0
Class,"(unnamed_function_1).et",3,1,2,,0,,,,,,1
Class,"(unnamed_function_1).h",11,5,8,,0,,,,,,1
Class,"(unnamed_function_1).ht",5,1,3,,0,,,,,,1
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).A",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Aw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).B",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Bw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).C",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Cw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).D",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Dw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).E",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Ew",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).F",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Fw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).G",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Gw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).H",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Hw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).I",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Iw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).J",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Jw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).K",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Kw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).L",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Lw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).M",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Mw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).N",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Nw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).O",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Ow",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).P",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Pw",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Q",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_1).initializeBox2D.(unnamed_function_2).(unnamed_function_3).Qw",0,0,0,,1,,,,,,0
