Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Struct,"AABBQueryResult",1,1,1,0,0,1,1,1,0,0,1
Struct,"AALine",0,0,0,0,0,0,0,1,0,0,0
Struct,"AASpans",0,0,0,0,0,0,0,2,0,0,0
Struct,"AAT::ActionSubrecord",10,2,7,0,0,4,4,8,66,0,7
Struct,"AAT::ActionSubrecordHeader",3,1,1,0,0,3,3,3,100,0,1
Struct,"AAT::Anchor",3,1,1,0,0,3,3,2,100,0,1
Struct,"AAT::BaselineTableFormat0Part",3,1,1,0,0,3,3,3,100,0,1
Struct,"AAT::BaselineTableFormat1Part",2,1,1,0,0,2,2,4,87,0,1
Struct,"AAT::BaselineTableFormat2Part",3,1,1,0,0,3,3,4,100,0,1
Struct,"AAT::BaselineTableFormat3Part",2,1,1,0,0,2,2,5,90,0,1
Struct Template,"AAT::Chain",21,4,9,0,0,5,5,14,65,0,5
Struct Template,"AAT::ChainSubtable",13,1,6,0,0,7,7,10,85,0,1
Struct Template,"AAT::ClassTable",6,1,2,0,0,5,5,3,75,0,1
Struct,"AAT::ConditionalAddGlyphAction",3,1,1,0,0,3,3,4,100,0,1
Struct Template,"AAT::ContextualSubtable",9,2,6,0,0,4,4,14,85,0,3
Public Struct,"AAT::ContextualSubtable::EntryData",2,1,1,0,0,2,2,1,100,0,1
Public Struct,"AAT::ContextualSubtable::driver_context_t",16,5,13,0,0,3,3,12,37,0,1
Struct,"AAT::DecompositionAction",3,1,1,0,0,3,3,4,90,0,1
Struct,"AAT::DuctileGlyphAction",3,1,1,0,0,3,3,4,100,0,1
Struct Template,"AAT::Entry",3,1,1,0,0,3,3,3,100,0,1
Struct Template,"AAT::Entry",3,1,1,0,0,3,3,3,100,0,1
Struct,"AAT::ExtendedTypes",3,1,1,0,0,3,3,2,100,0,1
Struct,"AAT::FTStringRange",3,1,1,0,0,3,3,3,94,0,1
Struct,"AAT::Feature",3,1,1,0,0,3,3,3,100,0,1
Struct,"AAT::FeatureName",13,1,5,0,0,9,9,7,88,0,1
Struct Template,"AAT::Format1Entry",2,1,1,0,0,2,2,2,0,0,1
Struct Template,"AAT::Format1Entry",2,1,1,0,0,2,2,1,0,0,1
Public Struct,"AAT::Format1Entry::EntryData",2,1,1,0,0,2,2,1,100,0,1
Struct Template,"AAT::InsertionSubtable",4,1,1,0,0,4,4,10,85,0,1
Public Struct,"AAT::InsertionSubtable::EntryData",2,1,1,0,0,2,2,1,100,0,1
Public Struct,"AAT::InsertionSubtable::driver_context_t",22,7,20,0,0,3,3,8,53,0,14
Struct,"AAT::JustWidthDeltaEntry",2,1,1,0,0,2,2,1,100,0,1
Struct,"AAT::JustificationCategory",3,1,1,0,0,3,3,4,86,0,1
Struct,"AAT::JustificationHeader",2,1,1,0,0,2,2,2,75,0,1
Struct,"AAT::KernPair",6,1,2,0,0,5,5,5,90,0,1
Struct,"AAT::KerxSubTable",11,2,6,0,0,5,5,8,73,0,1
Struct Template,"AAT::KerxSubTableFormat0",7,1,3,0,0,5,5,6,70,0,3
Public Struct,"AAT::KerxSubTableFormat0::accelerator_t",2,1,1,0,0,2,2,2,0,0,1
Struct Template,"AAT::KerxSubTableFormat1",5,1,2,0,0,4,4,15,87,0,1
Public Struct,"AAT::KerxSubTableFormat1::driver_context_t",19,6,17,0,0,3,3,14,47,0,5
Struct Template,"AAT::KerxSubTableFormat2",8,1,3,0,0,5,5,7,80,0,3
Public Struct,"AAT::KerxSubTableFormat2::accelerator_t",2,1,1,0,0,2,2,2,0,0,1
Struct Template,"AAT::KerxSubTableFormat4",4,1,1,0,0,4,4,15,91,0,1
Public Struct,"AAT::KerxSubTableFormat4::EntryData",2,1,1,0,0,2,2,1,100,0,1
Public Struct,"AAT::KerxSubTableFormat4::driver_context_t",12,4,10,0,0,3,3,13,44,0,9
Struct Template,"AAT::KerxSubTableFormat6",14,2,6,0,0,6,6,6,88,0,6
Protected Union,"AAT::KerxSubTableFormat6::U",0,0,0,0,0,0,0,0,0,0,0
Public Struct,"AAT::KerxSubTableFormat6::U::Long",0,0,0,0,0,0,0,0,0,0,0
Public Struct,"AAT::KerxSubTableFormat6::U::Short",0,0,0,0,0,0,0,0,0,0,0
Public Struct,"AAT::KerxSubTableFormat6::accelerator_t",2,1,1,0,0,2,2,2,0,0,1
Struct,"AAT::KerxSubTableHeader",5,1,1,0,0,5,5,4,93,0,1
Struct Template,"AAT::KerxTable",27,4,11,3,0,6,6,10,38,0,5
Struct Template,"AAT::LigatureEntry",2,1,1,0,0,2,2,2,0,0,1
Struct Template,"AAT::LigatureEntry",2,1,1,0,0,2,2,1,0,0,1
Public Struct,"AAT::LigatureEntry::EntryData",2,1,1,0,0,2,2,1,100,0,1
Struct Template,"AAT::LigatureSubtable",4,1,1,0,0,4,4,12,82,0,1
Public Struct,"AAT::LigatureSubtable::driver_context_t",22,7,20,0,0,3,3,10,48,0,17
Struct Template,"AAT::Lookup",29,4,8,0,0,7,7,10,71,0,8
Struct Template,"AAT::LookupFormat0",5,1,2,0,0,4,4,4,75,0,1
Struct Template,"AAT::LookupFormat10",6,1,3,0,0,4,4,6,67,0,1
Struct Template,"AAT::LookupFormat2",6,1,2,0,0,5,5,4,100,0,1
Struct Template,"AAT::LookupFormat4",6,1,2,0,0,5,5,4,100,0,1
Struct Template,"AAT::LookupFormat6",6,1,2,0,0,5,5,4,100,0,1
Struct Template,"AAT::LookupFormat8",6,1,2,0,0,5,5,5,70,0,1
Struct Template,"AAT::LookupSegmentArray",9,1,3,0,0,6,6,3,80,0,1
Struct Template,"AAT::LookupSegmentSingle",7,1,3,0,0,5,5,3,95,0,1
Struct Template,"AAT::LookupSingle",5,1,1,0,0,5,5,4,97,0,1
Struct Template,"AAT::NoncontextualSubtable",11,3,9,0,0,3,3,9,77,0,4
Struct,"AAT::ObsoleteTypes",4,1,2,0,0,3,3,2,100,0,1
Struct,"AAT::OpticalBounds",3,1,1,0,0,3,3,2,100,0,1
Struct,"AAT::PostcompensationActionChain",6,2,4,0,0,3,3,4,83,0,4
Struct Template,"AAT::RearrangementSubtable",4,1,1,0,0,4,4,8,87,0,1
Public Struct,"AAT::RearrangementSubtable::driver_context_t",10,3,8,0,0,3,3,5,41,0,1
Struct,"AAT::RepeatedAddGlyphAction",3,1,1,0,0,3,3,4,100,0,1
Struct,"AAT::SettingName",7,1,2,0,0,6,6,4,86,0,1
Struct Template,"AAT::StateTable",29,4,20,0,0,7,7,3,83,0,16
Struct Template,"AAT::StateTableDriver",16,8,15,0,0,2,2,5,0,0,6
Struct,"AAT::TrackData",14,2,9,0,0,5,5,6,70,0,8
Struct,"AAT::TrackTableEntry",5,1,1,0,0,5,5,2,96,0,1
Struct,"AAT::UnconditionalAddGlyphAction",3,1,1,0,0,3,3,4,100,0,1
Struct,"AAT::WidthDeltaPair",3,1,1,0,0,3,3,4,100,0,1
Struct,"AAT::ankr",5,1,2,0,0,4,4,5,90,0,1
Struct,"AAT::bsln",7,3,6,0,0,2,2,8,78,0,6
Struct,"AAT::feat",10,1,2,0,0,9,9,9,86,0,1
Struct,"AAT::hb_aat_apply_context_t",8,1,1,0,1,15,8,12,86,1,1
Struct,"AAT::hb_glyph_pair_t",0,0,0,0,0,0,0,0,0,0,0
Struct,"AAT::just",3,1,1,0,0,3,3,4,87,0,1
Struct,"AAT::kerx",2,1,1,0,1,8,2,3,93,1,1
Struct,"AAT::ltag",4,1,1,0,0,4,4,5,79,0,1
Struct,"AAT::mort",0,0,0,0,1,5,0,0,0,1,0
Struct Template,"AAT::mortmorx",13,2,4,2,0,5,5,8,77,0,4
Struct,"AAT::morx",0,0,0,0,1,5,0,0,0,1,0
Struct,"AAT::opbd",8,2,4,0,0,3,3,8,72,0,4
Struct,"AAT::opbdFormat0",5,1,3,0,0,3,3,6,100,0,1
Struct,"AAT::opbdFormat1",6,2,4,0,0,3,3,6,100,0,3
Struct,"AAT::trak",13,2,9,0,0,5,5,12,86,0,7
Class,"AESContext",80,2,14,0,1,70,34,4,93,1,14
Struct,"AFM_FontInfoRec_",0,0,0,0,0,0,0,3,0,0,0
Struct,"AFM_KernPairRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AFM_ParserRec_",0,0,0,0,0,0,0,3,0,0,0
Struct,"AFM_Parser_FuncsRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AFM_StreamRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AFM_TrackKernRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AFM_ValueRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_AxisHintsRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_Blue_StringRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_CJKAxisRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_CJKBlueRec_",0,0,0,0,0,0,0,1,0,0,0
Struct,"AF_CJKMetricsRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_EdgeRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_FaceGlobalsRec_",0,0,0,0,0,0,0,3,0,0,0
Struct,"AF_GlyphHintsRec_",0,0,0,0,0,0,0,4,0,0,0
Struct,"AF_LatinAxisRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_LatinBlueRec_",0,0,0,0,0,0,0,1,0,0,0
Struct,"AF_LatinMetricsRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_LoaderRec_",0,0,0,0,0,0,0,6,0,0,0
Struct,"AF_ModuleRec_",0,0,0,0,0,0,0,1,0,0,0
Struct,"AF_PointRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_ScalerRec_",0,0,0,0,0,0,0,1,0,0,0
Struct,"AF_ScriptClassRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_Script_UniRangeRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_SegmentRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_StyleClassRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_StyleMetricsRec_",0,0,0,0,0,0,0,2,0,0,0
Struct,"AF_WidthRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"AF_WritingSystemClassRec_",0,0,0,0,0,0,0,0,0,0,0
Struct,"ALPHDecoder",0,0,0,0,0,0,0,2,0,0,0
Class,"AStar2D",109,1,9,0,1,94,58,10,92,1,8
Class,"AStar3D",152,2,9,1,1,94,58,10,93,1,8
Private Struct,"AStar3D::Point",1,1,1,0,0,1,1,2,90,0,1
Private Struct,"AStar3D::Segment",5,1,2,0,0,4,4,0,50,0,1
Private Struct,"AStar3D::SortPoints",3,3,3,0,0,1,1,1,0,0,3
Class,"AStarGrid2D",207,2,27,0,1,108,72,9,94,1,27
Private Struct,"AStarGrid2D::Point",2,1,1,0,0,2,2,0,88,0,1
