Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Package,"(Unnamed_Package)",0,0,0,,,,0,,,,0
Struct Template,"AtomicTransactionalIncrement",4,1,2,0,0,3,3,0,0,0,1
Class Template,"BBox",17,1,4,0,0,9,9,1,36,0,4
Struct,"BNDnodeTheme",0,0,0,0,0,0,0,1,0,0,0
Struct,"BNDtheme",0,0,0,0,0,0,0,3,0,0,0
Struct,"BNDwidgetTheme",0,0,0,0,0,0,0,1,0,0,0
Struct,"ButtonClickedArgs",0,0,0,0,0,0,0,1,0,0,0
Struct,"COMDLG_FILTERSPEC_Guard",3,1,2,0,0,2,2,0,0,0,1
Struct,"COVER_best_s",0,0,0,0,0,0,0,1,0,0,0
Struct,"COVER_dictSelection",0,0,0,0,0,0,0,0,0,0,0
Struct,"COVER_map_pair_t_s",0,0,0,0,0,0,0,0,0,0,0
Struct,"COVER_map_s",0,0,0,0,0,0,0,1,0,0,0
Struct,"COVER_tryParameters_data_s",0,0,0,0,0,0,0,3,0,0,0
Struct,"CXCursorAndRangeVisitor",0,0,0,0,0,0,0,0,0,0,0
Struct,"CXPlatformAvailability",0,0,0,0,0,0,0,2,0,0,0
Struct,"CXTUResourceUsage",0,0,0,0,0,0,0,1,0,0,0
Struct,"CXTUResourceUsageEntry",0,0,0,0,0,0,0,0,0,0,0
Struct,"CXUnsavedFile",0,0,0,0,0,0,0,0,0,0,0
Struct,"CXVersion",0,0,0,0,0,0,0,0,0,0,0
Class,"Cloud",22,1,1,1,0,25,25,2,80,0,1
Class,"ClusterSort",0,0,0,0,0,0,0,0,0,0,0
Struct,"CullData",0,0,0,0,0,0,0,1,0,0,0
Class,"D3DOverdrawWindow",110,3,10,0,3,66,36,7,89,1,7
Class,"D3DWindow",13,1,6,1,2,30,8,0,50,1,1
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\ant.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\codeStyles\Project.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\codeStyles\codeStyleConfig.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\compiler.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\copyright\LWJGL_Copyright.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\copyright\profiles_settings.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\encodings.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\externalDependencies.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\inspectionProfiles\LWJGL.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\inspectionProfiles\profiles_settings.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\kotlinc.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\Ant.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\JMH.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\JOML.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\KotlinRuntime.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\TestNG.xml",0,0,0,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\lwjgl3-master\lwjgl3-master\.idea\libraries\jsr305.xml",0,0,0,,,,,,,,0
