Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Package,"$",0,0,0,,,,0,,,,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Class,"$",0,0,0,0,0,0,0,0,0,0,0
Struct,"AABB",35,1,7,0,0,24,24,3,4,0,7
Struct,"AABB",4,1,2,0,0,3,3,2,0,0,1
Struct,"ACSVisitor",3,3,3,0,1,2,1,2,0,1,1
Struct,"AMD::LightParams",0,0,0,0,0,0,0,2,0,0,0
Class,"AMD::Matrix3",61,2,5,0,0,29,29,1,72,0,4
Class,"AMD::Matrix4",2,1,1,0,0,14,14,1,95,0,1
Class,"AMD::Quaternion",29,1,4,0,0,23,23,2,78,0,1
Struct,"AMD::ShadeParams",0,0,0,0,0,0,0,1,0,0,0
Class,"AMD::TransformSet",14,1,2,0,0,13,13,2,30,0,1
Class,"AMD::TressFXAsset",70,3,9,0,0,21,21,9,80,0,6
Struct,"AMD::TressFXBoneSkinningData",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::TressFXCapsuleCollisionConstantBuffer",0,0,0,0,0,0,0,1,0,0,0
Class,"AMD::TressFXCollisionMesh",21,21,21,0,0,1,1,4,0,0,20
Struct,"AMD::TressFXCombinedHairFileHeader",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::TressFXLightParams",0,0,0,0,0,0,0,2,0,0,0
Struct,"AMD::TressFXRenderParams",0,0,0,0,0,0,0,2,0,0,0
Struct,"AMD::TressFXSDFCollisionParams",0,0,0,0,0,0,0,1,0,0,0
Struct,"AMD::TressFXShadeParams",0,0,0,0,0,0,0,1,0,0,0
Struct,"AMD::TressFXSimulationParams",15,1,2,0,0,14,14,3,92,0,1
Class,"AMD::TressFXSimulationSettings",6,1,3,0,0,4,4,6,75,0,1
Struct,"AMD::TressFXStrandParams",0,0,0,0,0,0,0,2,0,0,0
Struct,"AMD::TressFXTFXBoneFileHeader",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::TressFXTFXFileHeader",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::TressFXViewParams",0,0,0,0,0,0,0,2,0,0,0
Class,"AMD::Vector3",34,1,2,0,0,32,32,0,71,0,1
Struct,"AMD::float2",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::float3",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::float4",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::float4x4",0,0,0,0,0,0,0,1,0,0,0
Struct,"AMD::sbyte2",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sbyte3",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sbyte4",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sint2",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sint3",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sint4",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sshort2",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sshort3",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::sshort4",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::uint2",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::uint3",0,0,0,0,0,0,0,0,0,0,0
Struct,"AMD::uint4",0,0,0,0,0,0,0,0,0,0,0
Class,"APConnectionTest",8,2,3,0,3,21,4,6,0,1,3
Class,"APIIndex",0,0,0,0,1,6,0,0,0,1,0
Class,"ATLAudioObjectTest",2,1,1,0,1,3,2,2,0,1,1
Class,"ATLDebugNameStoreTestFixture",3,1,1,0,1,4,3,1,66,1,1
Class,"ATLPreloadXmlParsingTestFixture",10,1,2,0,1,8,7,3,77,1,1
Class,"ATLTestFixture",2,1,1,0,1,3,2,3,50,1,1
Class,"ATLUtilsTestFixture",2,1,1,0,1,3,2,0,0,1,1
Package,"AWS",120,1,4,,,,,,,,3
Package,"AWS.aws_metrics",58,1,3,,,,,,,,3
Class,"AWS.aws_metrics.aws_metrics_automation_test.TestAWSMetricsWindows",8,2,3,0,1,4,4,,,1,1
Class,"AWS.aws_metrics.aws_metrics_custom_thread.AWSMetricsThread",5,1,2,0,1,28,3,,,1,1
Class,"AWS.aws_metrics.aws_metrics_utils.AWSMetricsUtils",25,2,3,0,0,11,11,,,0,3
Class,"AWS.aws_metrics.aws_metrics_waiters.CloudWatchMetricsDeliveredWaiter",2,1,1,0,1,5,2,,,1,1
Class,"AWS.aws_metrics.aws_metrics_waiters.DataLakeMetricsDeliveredWaiter",2,1,1,0,1,5,2,,,1,1
Class,"AWS.aws_metrics.aws_metrics_waiters.GlueCrawlerReadyWaiter",2,1,1,0,1,5,2,,,1,1
Class,"AWS.aws_metrics.aws_metrics_waiters.KinesisAnalyticsApplicationUpdatedWaiter",2,1,1,0,1,5,2,,,1,1
Package,"AWS.client_auth",6,1,2,,,,,,,,1
Class,"AWS.client_auth.aws_client_auth_automation_test.TestAWSClientAuthWindows",4,1,2,0,1,3,3,,,1,1
Package,"AWS.common",40,1,4,,,,,,,,1
Class,"AWS.common.aws_credentials.AwsCredentials",14,2,4,0,0,6,6,,,0,1
Class,"AWS.common.aws_utils.AwsUtils",7,1,1,0,0,7,7,,,0,1
Class,"AWS.common.custom_waiter.CustomWaiter",3,1,1,4,0,3,3,,,0,1
Class,"AWS.common.custom_waiter.WaitState",0,0,0,0,1,0,0,,,1,0
Class,"AWS.common.resource_mappings.ResourceMappings",10,1,3,0,0,6,6,,,0,1
Package,"AWS.core",8,1,2,,,,,,,,1
Class,"AWS.core.test_aws_resource_interaction.TestAWSCoreAWSResourceInteraction",2,1,1,0,1,2,2,,,1,1
Class,"AWSApiClientJobConfigTest",4,1,1,0,3,87,4,1,50,2,1
Class,"AWSAttributionSystemComponentTest",2,1,1,0,3,27,2,6,0,1,1
Class,"AWSAttributionUnitTest::AWSAttributionManagerMock",2,1,1,0,4,80,6,1,0,1,1
Class,"AWSAttributionUnitTest::AWSCredentialRquestsBusMock",2,1,1,0,3,62,4,2,50,1,1
Abstract Class,"AWSAttributionUnitTest::AttributionManagerTest",2,1,1,0,3,28,3,8,51,1,1
Class,"AWSAttributionUnitTest::ModuleDataMock",6,1,1,0,1,11,6,3,33,1,1
Class,"AWSAttributionUnitTest::ModuleManagerRequestBusMock",3,1,1,0,3,66,8,2,0,1,1
Abstract Class,"AWSCVarCredentialHandlerTest",2,1,1,0,2,19,4,1,50,1,1
Class,"AWSClientAuth::AWSClientAuthCachingAnonymousCredsProvider",2,1,1,0,2,4,2,1,0,1,1
Class,"AWSClientAuth::AWSClientAuthCognitoCachingAuthenticatedCredentialsProvider",2,1,1,1,1,2,2,1,0,1,1
Abstract Class,"AWSClientAuth::AWSClientAuthEditorSystemComponent",39,1,3,0,3,103,32,11,0,2,3
Abstract Class,"AWSClientAuth::AWSClientAuthModule",16,1,2,0,1,20,15,2,0,1,1
Abstract Class,"AWSClientAuth::AWSClientAuthPersistentCognitoIdentityProvider",14,1,2,0,1,13,13,0,76,1,1
Abstract Class,"AWSClientAuth::AWSClientAuthSystemComponent",50,1,4,1,3,108,37,35,93,2,3
Abstract Class,"AWSClientAuth::AWSCognitoAuthenticationProvider",2,1,1,1,1,22,11,3,95,1,1
Class,"AWSClientAuth::AWSCognitoAuthorizationController",29,1,3,1,3,88,30,16,90,1,1
Class,"AWSClientAuth::AWSCognitoAuthorizationNotificationBusBehaviorHandler",35,1,2,0,3,88,30,7,96,2,1
Class,"AWSClientAuth::AWSCognitoUserManagementController",21,1,2,0,3,80,22,13,90,1,1
Class,"AWSClientAuth::AuthenticationNotificationBusBehaviorHandler",45,1,2,0,3,98,40,6,97,2,1
Abstract Class,"AWSClientAuth::AuthenticationProviderInterface",2,1,1,4,0,11,11,1,81,0,1
Class,"AWSClientAuth::AuthenticationProviderManager",60,1,4,1,3,99,41,10,0,1,1
Abstract Class,"AWSClientAuth::ClientAuthAWSCredentials",10,1,3,0,0,9,9,6,55,0,1
Class,"AWSClientAuth::GoogleAuthenticationProvider",12,1,3,1,1,21,10,14,60,1,3
Abstract Class,"AWSClientAuth::IAWSClientAuthRequests",2,1,1,0,0,5,5,0,0,0,1
Abstract Class,"AWSClientAuth::IAWSCognitoAuthorizationRequests",2,1,1,0,0,9,9,0,0,0,1
Abstract Class,"AWSClientAuth::IAWSCognitoUserManagementRequests",2,1,1,0,0,9,9,0,0,0,1
Abstract Class,"AWSClientAuth::IAuthenticationProviderRequests",2,1,1,0,0,13,13,2,0,0,1
Abstract Class,"AWSClientAuth::IAuthenticationProviderScriptCanvasRequests",2,1,1,0,0,13,13,1,0,0,1
Class,"AWSClientAuth::LWAAuthenticationProvider",12,1,3,1,1,21,10,14,66,1,3
Abstract Class,"AWSClientAuth::LWAProviderSetting",3,1,1,0,0,5,5,1,80,0,1
Class,"AWSClientAuth::ProviderNameEnum",0,0,0,0,0,1,1,1,100,0,0
Class,"AWSClientAuth::UserManagementNotificationBusBehaviorHandler",45,1,2,0,3,98,40,6,97,2,1
Class,"AWSClientAuthPersistentCognitoIdentityProviderTest",2,1,1,0,4,105,2,0,0,1,1
Class,"AWSClientAuthRequests",0,0,0,0,1,0,0,0,0,1,0
Class,"AWSClientAuthSystemComponentTest",3,1,1,0,4,106,3,4,42,1,1
Abstract Class,"AWSClientAuthUnitTest::AWSClientAuthGemAllocatorFixture",34,1,3,9,3,103,30,31,92,2,1
Class,"AWSClientAuthUnitTest::AWSClientAuthSystemComponentMock",15,1,2,0,4,125,19,3,100,1,1
Class,"AWSClientAuthUnitTest::AWSCognitoAuthenticationProviderrLocalMock",0,0,0,0,2,22,0,0,0,1,0
Class,"AWSClientAuthUnitTest::AWSCognitoAuthorizationControllerTestLocalMock",0,0,0,0,4,88,0,0,0,1,0
Class,"AWSClientAuthUnitTest::AWSCognitoAuthorizationNotificationsBusMock",2,1,1,0,3,62,4,0,0,1,1
Class,"AWSClientAuthUnitTest::AWSCognitoUserManagementNotificationsBusMock",2,1,1,0,3,72,14,0,0,1,1
Class,"AWSClientAuthUnitTest::AWSCoreRequestBusMock",2,1,1,0,3,62,4,2,0,1,1
Abstract Class,"AWSClientAuthUnitTest::AWSCoreSystemComponentMock",38,1,3,0,1,47,34,13,0,1,3
Class,"AWSClientAuthUnitTest::AWSResourceMappingRequestBusMock",2,1,1,0,3,70,12,0,0,1,1
Class,"AWSClientAuthUnitTest::AuthenticationProviderManagerLocalMock",2,1,1,0,4,102,24,5,0,1,1
