Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Static Function,"BufferSubtype_New",1,5,5,5
Static Function,"Buffer_New",1,1,1,1
Static Function,"Buffer_Reset",1,6,6,7
Static Function,"CD",3,3,3,3
Function,"Camera",1,1,1,1
Static Function,"Channel",3,3,3,3
Function,"ClockInit",4,4,4,4
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\__init__.py",0,0,0,0
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\__main__.py",1,1,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\bundle_docs.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config.py",1,3,3,3
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_darwin.py",1,4,4,4
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_msys.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_unix.py",1,4,4,4
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_win.py",1,6,6,6
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\download_win_prebuilt.py",1,3,3,3
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\makeref.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\msysio.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\setup_win_common.py",1,1,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\vstools.py",1,2,2,2
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\__init__.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\__main__.py",1,4,4,4
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\logos.html",0,0,0,0
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\_static\reset.css",0,0,0,0
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\_static\tooltip.css",0,0,0,0
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\conf.py",1,1,1,1
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\__init__.py",0,0,0,0
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\boilerplate.py",1,2,2,2
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\customversion.py",1,1,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\edit_on_github.py",1,1,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\headers.py",0,0,0,0
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\indexer.py",1,1,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\utils.py",1,4,4,4
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ref\code_examples\draw_module_example.py",1,4,4,4
