Kind,Name,CountLineCode,CountLineComment,CountLineBlank
Package,"(Unnamed_Package)",55,2,11
Static Function,"BufferSubtype_New",26,0,0
Static Function,"Buffer_New",5,0,0
Static Function,"Buffer_Reset",24,1,1
Static Function,"CD",10,0,1
Function,"Camera",4,0,0
Static Function,"Channel",9,0,1
Struct,"ChannelData",5,0,0
Function,"ClockInit",20,1,4
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\__init__.py",0,0,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\__main__.py",2,0,0
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\bundle_docs.py",42,6,7
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config.py",160,42,27
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_darwin.py",161,9,30
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_msys.py",255,12,34
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_unix.py",219,18,34
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\config_win.py",533,17,61
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\download_win_prebuilt.py",246,51,26
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\makeref.py",25,1,4
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\msysio.py",29,14,12
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\setup_win_common.py",26,9,11
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\buildconfig\vstools.py",65,2,18
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\__init__.py",5,4,3
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\__main__.py",24,1,3
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\logos.html",0,3,14
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\_static\reset.css",0,0,0
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\_static\tooltip.css",0,0,0
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\_templates\header.h",22,14,8
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\conf.py",40,126,61
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\__init__.py",0,1,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\boilerplate.py",233,23,53
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\customversion.py",13,1,8
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\edit_on_github.py",24,6,12
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\headers.py",34,6,11
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\indexer.py",142,36,40
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ext\utils.py",101,14,26
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ref\code_examples\draw_module_example.py",34,30,22
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\ref\code_examples\joystick_calls.py",72,38,35
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\themes\classic\elements.html",0,0,13
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\docs\reST\themes\classic\page.html",0,0,2
File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\examples\__init__.py",0,0,1
Module File,"D:\drvm\PROJE\gameengines\pygame-1.9.6\pygame-1.9.6\examples\aacircle.py",27,2,6
