Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Function,"'isShadow'",1,1,1,1
Function,"'log'",1,1,1,1
Function,"'warn'",1,1,1,1
Unnamed Function,"(unnamed_function_1)",1,1,1,1
Unnamed Function,"(unnamed_function_1)",1,2,2,2
Unnamed Function,"(unnamed_function_1)",1,1,1,1
Unnamed Function,"(unnamed_function_1)",1,2,2,3
Unnamed Function,"(unnamed_function_1)",1,3,3,4
Unnamed Function,"(unnamed_function_1)",1,2,2,2
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",3,3,3,3
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,6,6,6
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,2,2,2
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,7,7,8
Function,"(unnamed_function_1)",1,1,1,2
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,3,3,3
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
Function,"(unnamed_function_1)",1,1,1,1
