Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
Class Function,"(unnamed_function_2).Date",20,5,10,,0,,,,,,4
Class Function,"(unnamed_function_21).e",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_22).t",0,0,0,,0,,,,,,0
Class Function,"(unnamed_function_24).f.b",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_61).it",9,1,2,,0,,,,,,1
Class Function,"(unnamed_function_61).it.t",0,0,0,,1,,,,,,0
Class Function,"(unnamed_function_61).ot.t",0,0,0,,0,,,,,,0
Class,"Alert",9,2,5,,0,,,,,,1
Class,"Android",66,1,3,,0,,,,,,1
Class,"AudioBufferPlayer",7,1,3,,0,,,,,,1
Class,"AudioEffects",21,5,11,,0,,,,,,1
Class,"AudioRecorder",22,2,6,,0,,,,,,1
Class,"BLE",37,2,10,,0,,,,,,6
Class,"BT",29,2,8,,0,,,,,,5
Class,"Base64Util",5,1,2,,0,,,,,,1
Class,"BenchFixture",10,2,6,,1,,,,,,1
Class,"BenchFrameStream",3,1,1,,1,,,,,,1
Class,"BenchResult",1,1,1,,0,,,,,,1
Class,"BenchResultView",27,2,12,,0,,,,,,1
Class,"BenchRunner",2,1,1,,1,,,,,,1
Class,"BenchSuite",7,1,2,,1,,,,,,1
Class,"BenchSuiteResult",4,2,2,,1,,,,,,1
Class,"BenchUtil",8,1,1,,0,,,,,,1
Class,"Block",89,2,7,,0,,,,,,5
Class,"BlockArg",73,2,10,,0,,,,,,4
Class,"BlockCached",10,10,10,,0,,,,,,4
Class,"BlockSpecs",26,1,6,,0,,,,,,1
Class,"BlockUtility",28,1,2,,0,,,,,,1
Class,"Blocks",165,4,42,,0,,,,,,30
Class,"Boost",68,2,23,,0,,,,,,4
Class,"BoostMotor",28,1,2,,0,,,,,,1
Class,"Camera",32,2,7,,0,,,,,,1
Class,"Cast",37,3,9,,0,,,,,,8
Class,"CentralDispatch",15,1,3,,0,,,,,,3
Class,"Clock",3,1,1,,0,,,,,,1
Class,"Clone",1,1,1,,0,,,,,,1
Class,"Cloud",6,1,2,,0,,,,,,1
Class,"CloudProvider",30,1,6,,0,,,,,,1
Class,"Color",29,2,8,,0,,,,,,3
Class,"Comment",6,1,1,,0,,,,,,1
Class,"Cookie",5,2,4,,0,,,,,,3
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_common\colour.js",2,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_common\math.js",5,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_common\matrix.js",1,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_common\note.js",1,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_common\text.js",1,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_horizontal\control.js",5,1,1,,,,,,,,1
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_horizontal\default_toolbox.js",0,0,1,,,,,,,,0
File,"D:\drvm\PROJE\gameengines\scratch\scratch-blocks-develop\scratch-blocks-develop\blocks_horizontal\event.js",5,1,1,,,,,,,,1
